ubigeo_reniec;ubigeo_inei;departamento_inei;departamento;provincia_inei;provincia;distrito
10101;10101;1;AMAZONAS;101;CHACHAPOYAS;CHACHAPOYAS
10102;10102;1;AMAZONAS;101;CHACHAPOYAS;ASUNCION
10103;10103;1;AMAZONAS;101;CHACHAPOYAS;BALSAS
10104;10104;1;AMAZONAS;101;CHACHAPOYAS;CHETO
10105;10105;1;AMAZONAS;101;CHACHAPOYAS;CHILIQUIN
10106;10106;1;AMAZONAS;101;CHACHAPOYAS;CHUQUIBAMBA
10107;10107;1;AMAZONAS;101;CHACHAPOYAS;GRANADA
10108;10108;1;AMAZONAS;101;CHACHAPOYAS;HUANCAS
10109;10109;1;AMAZONAS;101;CHACHAPOYAS;LA JALCA
10110;10110;1;AMAZONAS;101;CHACHAPOYAS;LEIMEBAMBA
10111;10111;1;AMAZONAS;101;CHACHAPOYAS;LEVANTO
10112;10112;1;AMAZONAS;101;CHACHAPOYAS;MAGDALENA
10113;10113;1;AMAZONAS;101;CHACHAPOYAS;MARISCAL CASTILLA
10114;10114;1;AMAZONAS;101;CHACHAPOYAS;MOLINOPAMPA
10115;10115;1;AMAZONAS;101;CHACHAPOYAS;MONTEVIDEO
10116;10116;1;AMAZONAS;101;CHACHAPOYAS;OLLEROS
10117;10117;1;AMAZONAS;101;CHACHAPOYAS;QUINJALCA
10118;10118;1;AMAZONAS;101;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS
10119;10119;1;AMAZONAS;101;CHACHAPOYAS;SAN ISIDRO DE MAINO
10120;10120;1;AMAZONAS;101;CHACHAPOYAS;SOLOCO
10121;10121;1;AMAZONAS;101;CHACHAPOYAS;SONCHE
10205;10201;1;AMAZONAS;102;BAGUA;BAGUA
10202;10202;1;AMAZONAS;102;BAGUA;ARAMANGO
10203;10203;1;AMAZONAS;102;BAGUA;COPALLIN
10204;10204;1;AMAZONAS;102;BAGUA;EL PARCO
10206;10205;1;AMAZONAS;102;BAGUA;IMAZA
10201;10206;1;AMAZONAS;102;BAGUA;LA PECA
10301;10301;1;AMAZONAS;103;BONGARA;JUMBILLA
10304;10302;1;AMAZONAS;103;BONGARA;CHISQUILLA
10305;10303;1;AMAZONAS;103;BONGARA;CHURUJA
10302;10304;1;AMAZONAS;103;BONGARA;COROSHA
10303;10305;1;AMAZONAS;103;BONGARA;CUISPES
10306;10306;1;AMAZONAS;103;BONGARA;FLORIDA
10312;10307;1;AMAZONAS;103;BONGARA;JAZAN
10307;10308;1;AMAZONAS;103;BONGARA;RECTA
10308;10309;1;AMAZONAS;103;BONGARA;SAN CARLOS
10309;10310;1;AMAZONAS;103;BONGARA;SHIPASBAMBA
10310;10311;1;AMAZONAS;103;BONGARA;VALERA
10311;10312;1;AMAZONAS;103;BONGARA;YAMBRASBAMBA
10601;10401;1;AMAZONAS;104;CONDORCANQUI;NIEVA
10603;10402;1;AMAZONAS;104;CONDORCANQUI;EL CENEPA
10602;10403;1;AMAZONAS;104;CONDORCANQUI;RIO SANTIAGO
10401;10501;1;AMAZONAS;105;LUYA;LAMUD
10402;10502;1;AMAZONAS;105;LUYA;CAMPORREDONDO
10403;10503;1;AMAZONAS;105;LUYA;COCABAMBA
10404;10504;1;AMAZONAS;105;LUYA;COLCAMAR
10405;10505;1;AMAZONAS;105;LUYA;CONILA
10406;10506;1;AMAZONAS;105;LUYA;INGUILPATA
10407;10507;1;AMAZONAS;105;LUYA;LONGUITA
10408;10508;1;AMAZONAS;105;LUYA;LONYA CHICO
10409;10509;1;AMAZONAS;105;LUYA;LUYA
10410;10510;1;AMAZONAS;105;LUYA;LUYA VIEJO
10411;10511;1;AMAZONAS;105;LUYA;MARIA
10412;10512;1;AMAZONAS;105;LUYA;OCALLI
10413;10513;1;AMAZONAS;105;LUYA;OCUMAL
10414;10514;1;AMAZONAS;105;LUYA;PISUQUIA
