departamento;provincia;CIRCUNSCRIPCION_ELECTORAL
AMAZONAS;;AMAZONAS
ANCASH;;ANCASH
APURIMAC;;APURIMAC
AREQUIPA;;AREQUIPA
AYACUCHO;;AYACUCHO
CAJAMARCA;;CAJAMARCA
CALLAO;;CALLAO
CUSCO;;CUSCO
HUANCAVELICA;;HUANCAVELICA
HUANUCO;;HUANUCO
ICA;;ICA
JUNIN;;JUNIN
LA LIBERTAD;;LA LIBERTAD
LAMBAYEQUE;;LAMBAYEQUE
LIMA;LIMA;LIMA METROPOLITANA
LIMA;;LIMA PROVINCIAS 
;;PERUANOS RESIDENTES EN EL EXTRANJERO
LORETO;;LORETO
MADRE DE DIOS;;MADRE DE DIOS
MOQUEGUA;;MOQUEGUA
PASCO;;PASCO
PIURA;;PIURA
PUNO;;PUNO
SAN MARTIN;;SAN MARTIN
TACNA;;TACNA
TUMBES;;TUMBES
UCAYALI;;UCAYALI
