mesa_number;tipo_ubicacion;circunscripcion_electoral;departamento;provincia;distrito;teh
698696;NACIONAL;AREQUIPA;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;300
371565;NACIONAL;HUANUCO;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;300
947790;NACIONAL;CUSCO;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;300
889911;NACIONAL;JUNIN;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;300
838405;NACIONAL;LORETO;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;300
713159;NACIONAL;PIURA;AMAZONAS;CHACHAPOYAS;ASUNCION;300
923222;NACIONAL;UCAYALI;AMAZONAS;CHACHAPOYAS;BALSAS;300
613244;NACIONAL;PIURA;AMAZONAS;CHACHAPOYAS;BALSAS;300
880448;NACIONAL;PUNO;AMAZONAS;CHACHAPOYAS;BALSAS;300
694781;NACIONAL;JUNIN;AMAZONAS;CHACHAPOYAS;BALSAS;300
526056;NACIONAL;TUMBES;AMAZONAS;CHACHAPOYAS;BALSAS;300
157382;NACIONAL;TACNA;AMAZONAS;CHACHAPOYAS;CHETO;300
942506;NACIONAL;HUANCAVELICA;AMAZONAS;CHACHAPOYAS;CHETO;300
730589;NACIONAL;AYACUCHO;AMAZONAS;CHACHAPOYAS;CHETO;300
164575;NACIONAL;AMAZONAS;AMAZONAS;CHACHAPOYAS;CHETO;300
777644;NACIONAL;ANCASH;AMAZONAS;CHACHAPOYAS;CHETO;300
449886;NACIONAL;PIURA;AMAZONAS;CHACHAPOYAS;CHILIQUIN;300
209460;NACIONAL;HUANCAVELICA;AMAZONAS;CHACHAPOYAS;CHILIQUIN;300
493905;NACIONAL;CALLAO;AMAZONAS;CHACHAPOYAS;CHILIQUIN;300
533499;NACIONAL;LA LIBERTAD;AMAZONAS;CHACHAPOYAS;CHILIQUIN;300
646096;NACIONAL;PIURA;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;300
626066;NACIONAL;JUNIN;AMAZONAS;CHACHAPOYAS;GRANADA;300
519155;NACIONAL;ANCASH;AMAZONAS;CHACHAPOYAS;GRANADA;300
455594;NACIONAL;LAMBAYEQUE;AMAZONAS;CHACHAPOYAS;GRANADA;300
203034;NACIONAL;CALLAO;AMAZONAS;CHACHAPOYAS;GRANADA;300
883291;NACIONAL;CUSCO;AMAZONAS;CHACHAPOYAS;GRANADA;300
774358;NACIONAL;CAJAMARCA;AMAZONAS;CHACHAPOYAS;GRANADA;300
880201;NACIONAL;SAN MARTIN;AMAZONAS;CHACHAPOYAS;HUANCAS;300
296624;NACIONAL;MOQUEGUA;AMAZONAS;CHACHAPOYAS;LA JALCA;300
321403;NACIONAL;ICA;AMAZONAS;CHACHAPOYAS;LA JALCA;300
911907;NACIONAL;APURIMAC;AMAZONAS;CHACHAPOYAS;LA JALCA;300
628963;NACIONAL;APURIMAC;AMAZONAS;CHACHAPOYAS;LA JALCA;300
149140;NACIONAL;HUANUCO;AMAZONAS;CHACHAPOYAS;LA JALCA;300
993366;NACIONAL;HUANUCO;AMAZONAS;CHACHAPOYAS;LA JALCA;300
904480;NACIONAL;LORETO;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;300
670111;NACIONAL;UCAYALI;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;300
774651;NACIONAL;PASCO;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;300
641262;NACIONAL;PUNO;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;300
107995;NACIONAL;PASCO;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;300
826332;NACIONAL;LIMA PROVINCIAS;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;300
231932;NACIONAL;ICA;AMAZONAS;CHACHAPOYAS;LEVANTO;300
700947;NACIONAL;CAJAMARCA;AMAZONAS;CHACHAPOYAS;LEVANTO;300
652476;NACIONAL;PIURA;AMAZONAS;CHACHAPOYAS;LEVANTO;300
633863;NACIONAL;APURIMAC;AMAZONAS;CHACHAPOYAS;MAGDALENA;300
645848;NACIONAL;APURIMAC;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;300
452203;NACIONAL;LIMA METROPOLITANA;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;300
539914;NACIONAL;AYACUCHO;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;300
944032;NACIONAL;APURIMAC;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;300
709365;NACIONAL;HUANCAVELICA;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;300
789546;NACIONAL;AYACUCHO;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;300
635781;NACIONAL;PASCO;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;300
352118;NACIONAL;PUNO;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;300
113588;NACIONAL;LIMA METROPOLITANA;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;300
377788;NACIONAL;MADRE DE DIOS;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;300
737924;NACIONAL;LAMBAYEQUE;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;300
837215;NACIONAL;LORETO;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;300
723364;NACIONAL;TUMBES;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;300
728475;NACIONAL;MADRE DE DIOS;AMAZONAS;CHACHAPOYAS;OLLEROS;300
583671;NACIONAL;AREQUIPA;AMAZONAS;CHACHAPOYAS;QUINJALCA;300
816291;NACIONAL;ICA;AMAZONAS;CHACHAPOYAS;QUINJALCA;300
830160;NACIONAL;MOQUEGUA;AMAZONAS;CHACHAPOYAS;QUINJALCA;300
601755;NACIONAL;SAN MARTIN;AMAZONAS;CHACHAPOYAS;QUINJALCA;300
248498;NACIONAL;MOQUEGUA;AMAZONAS;CHACHAPOYAS;QUINJALCA;300
410836;NACIONAL;HUANCAVELICA;AMAZONAS;CHACHAPOYAS;QUINJALCA;300
613513;NACIONAL;UCAYALI;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;300
180272;NACIONAL;TUMBES;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;300
882384;NACIONAL;AREQUIPA;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;300
303428;NACIONAL;PASCO;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;300
808822;NACIONAL;AYACUCHO;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;300
166202;NACIONAL;MADRE DE DIOS;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;300
348973;NACIONAL;MOQUEGUA;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;300
454717;NACIONAL;LIMA PROVINCIAS;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;300
948075;NACIONAL;ICA;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;300
923046;NACIONAL;AMAZONAS;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;300
532119;NACIONAL;PIURA;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;300
653123;NACIONAL;LIMA PROVINCIAS;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;300
696087;NACIONAL;HUANUCO;AMAZONAS;CHACHAPOYAS;SOLOCO;300
857622;NACIONAL;LORETO;AMAZONAS;CHACHAPOYAS;SONCHE;300
110541;NACIONAL;HUANCAVELICA;AMAZONAS;CHACHAPOYAS;SONCHE;300
142946;NACIONAL;UCAYALI;AMAZONAS;CHACHAPOYAS;SONCHE;300
203402;NACIONAL;LIMA METROPOLITANA;AMAZONAS;CHACHAPOYAS;SONCHE;300
774795;NACIONAL;AREQUIPA;AMAZONAS;CHACHAPOYAS;SONCHE;300
150627;NACIONAL;APURIMAC;AMAZONAS;CHACHAPOYAS;SONCHE;300
104398;NACIONAL;LA LIBERTAD;AMAZONAS;CHACHAPOYAS;SONCHE;300
230107;NACIONAL;PUNO;AMAZONAS;BAGUA;BAGUA;300
459950;NACIONAL;UCAYALI;AMAZONAS;BAGUA;BAGUA;300
695343;NACIONAL;PUNO;AMAZONAS;BAGUA;BAGUA;300
343408;NACIONAL;TACNA;AMAZONAS;BAGUA;ARAMANGO;300
853263;NACIONAL;LIMA PROVINCIAS;AMAZONAS;BAGUA;COPALLIN;300
155152;NACIONAL;UCAYALI;AMAZONAS;BAGUA;COPALLIN;300
659314;NACIONAL;ICA;AMAZONAS;BAGUA;COPALLIN;300
305007;NACIONAL;MADRE DE DIOS;AMAZONAS;BAGUA;EL PARCO;300
616038;NACIONAL;AREQUIPA;AMAZONAS;BAGUA;EL PARCO;300
869180;NACIONAL;MADRE DE DIOS;AMAZONAS;BAGUA;EL PARCO;300
937450;NACIONAL;LIMA METROPOLITANA;AMAZONAS;BAGUA;EL PARCO;300
811592;NACIONAL;ANCASH;AMAZONAS;BAGUA;IMAZA;300
223027;NACIONAL;TACNA;AMAZONAS;BAGUA;IMAZA;300
254969;NACIONAL;CUSCO;AMAZONAS;BAGUA;IMAZA;300
682524;NACIONAL;AREQUIPA;AMAZONAS;BAGUA;IMAZA;300
397442;NACIONAL;PASCO;AMAZONAS;BAGUA;LA PECA;300
953731;NACIONAL;TACNA;AMAZONAS;BAGUA;LA PECA;300
317432;NACIONAL;PASCO;AMAZONAS;BONGARA;JUMBILLA;300
573081;NACIONAL;TUMBES;AMAZONAS;BONGARA;JUMBILLA;300
172699;NACIONAL;MADRE DE DIOS;AMAZONAS;BONGARA;JUMBILLA;300
451700;NACIONAL;AYACUCHO;AMAZONAS;BONGARA;JUMBILLA;300
799983;NACIONAL;TUMBES;AMAZONAS;BONGARA;JUMBILLA;300
289535;NACIONAL;PASCO;AMAZONAS;BONGARA;JUMBILLA;300
941139;NACIONAL;TUMBES;AMAZONAS;BONGARA;JUMBILLA;300
996885;NACIONAL;TACNA;AMAZONAS;BONGARA;CHISQUILLA;300
392163;NACIONAL;LAMBAYEQUE;AMAZONAS;BONGARA;CHISQUILLA;300
284379;NACIONAL;UCAYALI;AMAZONAS;BONGARA;CHISQUILLA;300
100095;NACIONAL;LAMBAYEQUE;AMAZONAS;BONGARA;CHISQUILLA;300
870547;NACIONAL;CUSCO;AMAZONAS;BONGARA;CHISQUILLA;300
802788;NACIONAL;ICA;AMAZONAS;BONGARA;CHISQUILLA;300
242744;NACIONAL;TACNA;AMAZONAS;BONGARA;CHISQUILLA;300
992120;NACIONAL;HUANUCO;AMAZONAS;BONGARA;CHURUJA;300
885935;NACIONAL;LAMBAYEQUE;AMAZONAS;BONGARA;COROSHA;300
858273;NACIONAL;PIURA;AMAZONAS;BONGARA;COROSHA;300
214810;NACIONAL;LORETO;AMAZONAS;BONGARA;CUISPES;300
116833;NACIONAL;LIMA PROVINCIAS;AMAZONAS;BONGARA;CUISPES;300
709856;NACIONAL;MOQUEGUA;AMAZONAS;BONGARA;CUISPES;300
742749;NACIONAL;LAMBAYEQUE;AMAZONAS;BONGARA;FLORIDA;300
118253;NACIONAL;PASCO;AMAZONAS;BONGARA;FLORIDA;300
509772;NACIONAL;HUANUCO;AMAZONAS;BONGARA;FLORIDA;300
301189;NACIONAL;HUANCAVELICA;AMAZONAS;BONGARA;JAZAN;300
757863;NACIONAL;MADRE DE DIOS;AMAZONAS;BONGARA;JAZAN;300
743762;NACIONAL;MADRE DE DIOS;AMAZONAS;BONGARA;JAZAN;300
