key;order;name
01;01;PARTIDO POLÍTICO AMANECER DE NUEVO
02;02;PARTIDO POLÍTICO PAZ Y AMOR
03;03;PARTIDO POLÍTICO GOTAS DE LLUVIA
04;04;PARTIDO POLÍTICO LA MAGIA DEL ENCUENTRO
05;05;PARTIDO POLÍTICO EN LA DISTANCIA
06;06;PARTIDO POLÍTICO AL OTRO LADO
07;07;PARTIDO POLÍTICO EL TRABAJO DIGNIFICA
08;08;PARTIDO POLÍTICO HOJAS AL VIENTO
09;09;PARTIDO POLÍTICO SEMBRANDO LA AMISTAD
10;10;PARTIDO POLÍTICO ESTAMOS EN ARMONÍA
11;11;PARTIDO POLÍTICO ALCANZAR EL INFINITO
12;12;PARTIDO POLÍTICO EL MEJOR AMIGO
13;13;PARTIDO POLÍTICO PIENSA POSITIVAMENTE
14;14;PARTIDO POLÍTICO LIDERANDO EL FUTURO
15;15;PARTIDO POLÍTICO NIÑOS PRIMERO
16;16;PARTIDO POLÍTICO FELICES POR SIEMPRE
17;17;PARTIDO POLÍTICO SALVEMOS AL PLANETA
18;18;PARTIDO POLÍTICO LOS CAMPEONES
19;19;PARTIDO POLÍTICO ORDENANDO LA CASA
20;20;PARTIDO POLÍTICO COLECCIONISTA DE OBJETOS
21;21;PARTIDO POLÍTICO OPTIMISMO TOTAL
22;22;PARTIDO POLÍTICO BUEN VIAJE
23;23;PARTIDO POLÍTICO VISTA ALEGRE
24;24;PARTIDO POLÍTICO EL MAPA DE LOS SUEÑOS
25;25;PARTIDO POLÍTICO EL VUELO DEL ESPÍRITU
26;26;PARTIDO POLÍTICO EL LENGUAJE DEL SILENCIO
27;27;PARTIDO POLÍTICO SUEÑOS COMPARTIDOS
28;28;PARTIDO POLÍTICO EL ABRAZO DE LA PAZ
29;29;PARTIDO POLÍTICO TODO ESTARÁ BIEN
30;30;PARTIDO POLÍTICO UN SOLO LATIDO
31;31;PARTIDO POLÍTICO EL PERDÓN ES DIVINO
32;32;PARTIDO POLÍTICO BRILLO DEL ALMA
33;33;PARTIDO POLÍTICO EL HILO INVISIBLE
34;34;PARTIDO POLÍTICO LA MELODÍA DEL CARIÑO
35;35;PARTIDO POLÍTICO PENSANDO EN TI
36;36;PARTIDO POLÍTICO EL ESPEJO DEL ALMA
37;37;PARTIDO POLÍTICO EL TEJIDO DE LA VIDA
38;38;PARTIDO POLÍTICO EL AROMA DE LA CONFIANZA
39;39;PARTIDO POLÍTICO EL SABOR DE LA LEALTAD
40;;BLANCO
41;;NULO
